MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CH4|Land Use,Mt CH4/yr,146.8902395,149.5483113,155.3200102,167.193141,170.6466954,166.6843895,159.8360476,152.4695899,143.6271775,133.9520966,122.6766331
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CO,Mt CO/yr,867.1106116,849.7976145,785.5902934,765.8395331,720.3116694,655.682414,582.9981808,519.4617369,450.9298724,389.0510566,350.9308689
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CO2,Mt CO2/yr,37770.82799,40294.29382,42284.92873,44385.65447,44491.57078,42832.15614,39042.38974,34193.21795,25823.81809,15468.52859,9115.046702
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,0,78.82966667,415.8733333,1329.727667,3384.582667,7474.463333,14496.61767,23273.30867,31789.71033
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,0,0,6.537666667,36.586,151.0336667,468.6293333,1350.433333,3052.155333,4914.063,6361.483333
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,30875.8795,33132.85003,36614.54074,39797.16435,41313.9379,42149.94647,40998.07244,36823.84984,29625.24414,20027.97927,13915.12367
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|CO2|Land Use,Mt CO2/yr,6894.948483,7161.443786,5670.387997,4588.490119,3177.632881,682.2096711,-1955.682705,-2630.63189,-3801.426053,-4559.450679,-4800.076969
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|F-Gases,Mt CO2-equiv/yr,547.9356667,733.216,1493.594667,1536.747667,1431.976333,1270.137,1342.876333,1391.100333,1410.486,1444.149667,1371.912667
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,49033.52596,51810.61952,55043.53269,57739.63932,57547.38481,55287.91363,51000.62476,45823.54178,36911.1061,26230.14478,19510.63437
MESSAGE-GLOBIOM,SSP2-45,World,Emissions|N2O,kt N2O/yr,8285.953294,8758.092223,9657.446832,10608.98048,11182.37674,11372.07106,11265.04551,10868.11885,9965.778937,9361.891171,8776.604443
