year,temperature
1850,-0.058676471
1851,0.048823529
1852,0.078823529
1853,0.046323529
1854,0.048823529
1855,0.048823529
1856,-0.051176471
1857,-0.146176471
1858,-0.038676471
1859,0.068823529
1860,-0.056176471
1861,-0.091176471
1862,-0.153676471
1863,0.001323529
1864,-0.048676471
1865,0.033823529
1866,0.051323529
1867,0.048823529
1868,0.061323529
1869,0.058823529
1870,0.021323529
1871,-0.006176471
1872,0.023823529
1873,0.016323529
1874,-0.021176471
1875,-0.006176471
1876,-0.043676471
1877,0.271323529
1878,0.331323529
1879,0.083823529
1880,0.031323529
1881,0.116323529
1882,0.063823529
1883,-0.001176471
1884,-0.128676471
1885,-0.133676471
1886,-0.113676471
1887,-0.168676471
1888,-0.011176471
1889,0.111323529
1890,-0.146176471
1891,-0.038676471
1892,-0.121176471
1893,-0.118676471
1894,-0.101176471
1895,-0.058676471
1896,0.088823529
1897,0.088823529
1898,-0.113676471
1899,0.016323529
1900,0.116323529
1901,0.063823529
1902,-0.078676471
1903,-0.168676471
1904,-0.238676471
1905,-0.053676471
1906,0.023823529
1907,-0.133676471
1908,-0.173676471
1909,-0.221176471
1910,-0.191176471
1911,-0.208676471
1912,-0.136176471
1913,-0.113676471
1914,0.078823529
1915,0.136323529
1916,-0.086176471
1917,-0.213676471
1918,-0.061176471
1919,-0.006176471
1920,0.033823529
1921,0.073823529
1922,-0.008676471
1923,0.016323529
1924,0.018823529
1925,0.056323529
1926,0.186323529
1927,0.081323529
1928,0.091323529
1929,-0.071176471
1930,0.136323529
1931,0.198823529
1932,0.153823529
1933,-0.011176471
1934,0.136323529
1935,0.088823529
1936,0.136323529
1937,0.283823529
1938,0.286323529
1939,0.271323529
1940,0.371323529
1941,0.356323529
1942,0.321323529
1943,0.348823529
1944,0.471323529
1945,0.348823529
1946,0.196323529
1947,0.241323529
1948,0.181323529
1949,0.173823529
1950,0.096323529
1951,0.251323529
1952,0.323823529
1953,0.388823529
1954,0.196323529
1955,0.138823529
1956,0.076323529
1957,0.296323529
1958,0.306323529
1959,0.286323529
1960,0.231323529
1961,0.308823529
1962,0.261323529
1963,0.296323529
1964,0.046323529
1965,0.153823529
1966,0.206323529
1967,0.238823529
1968,0.171323529
1969,0.313823529
1970,0.273823529
1971,0.153823529
1972,0.261323529
1973,0.403823529
1974,0.183823529
1975,0.241323529
1976,0.148823529
1977,0.453823529
1978,0.348823529
1979,0.436323529
1980,0.541323529
1981,0.586323529
1982,0.396323529
1983,0.571323529
1984,0.408823529
1985,0.401323529
1986,0.441323529
1987,0.578823529
1988,0.633823529
1989,0.523823529
1990,0.698823529
1991,0.676323529
1992,0.473823529
1993,0.521323529
1994,0.576323529
1995,0.726323529
1996,0.613823529
1997,0.758823529
1998,0.901323529
1999,0.666323529
2000,0.668823529
2001,0.811323529
2002,0.881323529
2003,0.878823529
2004,0.803823529
2005,0.943823529
2006,0.903823529
2007,0.921323529
2008,0.796323529
2009,0.926323529
2010,0.996323529
2011,0.881323529
2012,0.906323529
2013,0.936323529
2014,1.006323529
2015,1.148823529
2016,1.263823529
2017,1.178823529
2018,1.101323529
2019,1.226323529
2020,1.256323529
