"em","sector","units","X1750","X1751","X1752","X1753","X1754","X1755","X1756","X1757","X1758","X1759","X1760","X1761","X1762","X1763","X1764","X1765","X1766","X1767","X1768","X1769","X1770","X1771","X1772","X1773","X1774","X1775","X1776","X1777","X1778","X1779","X1780","X1781","X1782","X1783","X1784","X1785","X1786","X1787","X1788","X1789","X1790","X1791","X1792","X1793","X1794","X1795","X1796","X1797","X1798","X1799","X1800","X1801","X1802","X1803","X1804","X1805","X1806","X1807","X1808","X1809","X1810","X1811","X1812","X1813","X1814","X1815","X1816","X1817","X1818","X1819","X1820","X1821","X1822","X1823","X1824","X1825","X1826","X1827","X1828","X1829","X1830","X1831","X1832","X1833","X1834","X1835","X1836","X1837","X1838","X1839","X1840","X1841","X1842","X1843","X1844","X1845","X1846","X1847","X1848","X1849","X1850","X1851","X1852","X1853","X1854","X1855","X1856","X1857","X1858","X1859","X1860","X1861","X1862","X1863","X1864","X1865","X1866","X1867","X1868","X1869","X1870","X1871","X1872","X1873","X1874","X1875","X1876","X1877","X1878","X1879","X1880","X1881","X1882","X1883","X1884","X1885","X1886","X1887","X1888","X1889","X1890","X1891","X1892","X1893","X1894","X1895","X1896","X1897","X1898","X1899","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"NOx","1A1a_Electricity-autoproducer","ktNO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39938559209598e-06,1.54005831563907e-06,1.68087027064797e-06,3.03637129769701e-06,4.58013996957656e-06,5.61107889231577e-06,6.73660912425187e-06,1.03439427195547e-05,2.02299020152822e-05,2.04742908013916e-05,2.15627344977279e-05,1.87236822067081e-05,2.17033907269839e-05,5.08362683920902e-05,8.36081485837672e-05,0.000139021142649523,0.000236721875607872,0.000350629923231193,0.000438106179649772,0.000566732935321147,0.000665014208308545,0.000949686031854555,0.0010650487714494,0.00121413218225728,0.00182354985174014,0.00238460821139396,0.00254996777629748,0.00331987615606418,0.00369678414935732,0.00379637934850972,0.00475460246500904,0.0059706219351775,0.00635473486524884,0.0076883229584908,0.0071842974402483,0.0100663711162425,0.0102117700342148,0.0118765268927903,0.013693751482186,0.0149368173474537,0.017786963957033,0.080831238118637,0.142870179908015,0.206294221010443,0.274718685318363,0.339383615460956,0.413718987072405,0.489133097024695,0.56593038296204,0.64640587350677,0.728530282161736,0.944269281269908,1.20883408796815,1.52769262162338,1.86274952892773,2.26461401645864,2.54087832530901,2.80964050855122,3.02906401117792,3.19090589137233,3.51437431019873,3.75326379250973,3.89651050808578,4.08838221493664,4.28523028577069,4.41261087365626,4.86713387507251,5.19969431437838,5.57461359979825,6.10963304590323,6.36483994564506,6.689800373965,7.93072343641525,8.52242717035684,9.29564911938192,9.72246405613172,10.1442745870847,10.7037605434499,11.4930394658601,10.6466128050648,11.2143278593885,12.4662581322719,12.7541963124764,12.7211926513945,13.451072468981,13.6151199931675,14.2836044292446,15.4083550600477,15.6784546438053,16.4024522284671,19.2397792524262,23.4775779503407,27.4719758180445,31.1323078736144,35.2971071193137,40.1490156079222,44.5957557504767,51.5324681834192,54.9075108510714,60.3023849980427,63.5331594132368,70.9563753144139,80.0895337398992,88.4202374431611,100.01666425211,105.21879745533,115.362443377268,122.882958737177,136.736125728741,145.456472235929,157.686335673983,174.342106209354,185.028876403683,200.688038923662,560.610069581647,509.762532902916,516.219603669902,513.656988902575,527.83550147836,561.636266262409,556.057416885952,517.304433040883,526.857804092561,554.118383413136,579.041522215044,577.636590502789,595.380030395983,613.662579596724,618.149886522302,644.702010979853,720.28372077209,761.072911579106,808.855745934857,822.393810976086,811.098920061519,860.528263793508,861.902850714276,949.750683724903,1036.57471513384,968.747270187736,866.341834042109,893.498460209481,797.458916703875,845.037846195064,913.688111855572,940.287451880012,976.994033937371,1025.90453436792,1080.2964790654,1183.50098104939,1277.7366420835,1428.70528663993,1578.44637906588,1620.06510359212,1810.42161734134,1874.61039805453,2099.94919904749,2085.52597937407,2142.14019097238,2177.33620472086
"NOx","1A1a_Electricity-public","ktNO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125214887247665,0,0,0,0,0,0,0,0,0,0,0,0.0227363874212866,0.0304202453000621,0.0332282679431448,0.0343839507316244,0.0331184303227521,0.0385195759168447,0.0393982768799862,0.0453677127708932,0.0478032426143831,0.0465615999490746,0.0490448852796919,0.0541892822850238,0.0538249720428498,0.0569348222364321,0.0490278573234301,0.0641833746990322,0.07022444382063,0.07556828283017,0.0801862384353754,0.0974976025190057,0.122831888440015,0.137106003542352,0.156446975828891,0.174861491665161,0.153667606478084,0.19527218686335,0.222755469705086,0.264527194295297,0.26311363187633,0.298118403940609,0.291704842019417,0.736905168217108,0.307244477530626,0.373610277991375,0.432855735321447,0.430601676329042,0.563984128742369,0.584670428898994,0.679608337307981,1.10206500708239,0.921352391755768,1.329696007638,2.17707748903216,2.95877792339405,3.7090485502222,4.43612397666883,5.31179244589389,6.33362667345988,7.56589124715801,8.61418494469101,9.86940125217898,11.0953842198798,13.1993365840334,14.6748339128914,16.2332251283831,17.5905988603875,19.1946869887364,30.1259333082415,32.0350220168155,34.4872390554526,37.5970488169197,44.0880482185736,44.7101282995683,46.2180424107617,50.5764297812093,53.3857697127721,60.3339490099473,69.4342339613876,79.8291957561521,93.2729043642744,90.7334311900075,95.6272900255808,95.2181393590901,95.459246323989,97.4496863884024,102.173631057422,107.79395338513,111.163800634826,119.129384144934,126.275962147506,138.579487987253,143.679393229587,151.607560934691,156.553783846276,162.677190263596,169.520071422259,179.342876904566,194.589002336098,209.122697036272,215.990547931783,226.012642706799,234.4204437277,279.77051016432,343.866184990748,420.2365613853,426.159345740517,468.487335620428,535.697332998225,571.92071871224,565.016806782294,549.666483440587,633.347528540685,551.862469776391,588.785142340093,740.575941161477,792.945530978486,824.845043857347,903.63886150448,965.347907920939,1014.74715931768,1169.33849203144,1127.45984010308,1026.49528936708,945.251263037373,1004.32544376353,1108.44445419251,1190.36671088323,1362.28501979023,1517.50743643887,1470.72768386302,1605.90320659109,1802.11377272112,1994.98682378114,2248.41207834892,2481.13034492686,2688.00890336093,2555.97288194418,2667.39199371782,3084.50856383112,3321.73484447599,2688.89615556637,2963.34026772941,3342.71355551479,3454.48155801303,3587.81309619808,3713.69339906718,4122.09120051985,4272.35221693196,4308.75834609733,4395.96679863735,4634.46100575924,4955.26429373878,5092.26326077732,5397.15566292514,5799.55582592024,6233.74109803995,6576.82560813706,7029.42933617559,7229.28177646945,7787.30931318637,8463.86665534911,9281.03732357766,9734.48557890757,10325.019654102,11184.1334885629,10703.8667976692,10947.133997969,11845.3770929891,12438.5014117745,12767.2976497893,13313.0056394829,13705.3156864154,13495.8051324684,13107.2647618715,13245.4249694179,13385.4569327008,13667.6694719125,13883.0592664372,14599.848888557,15068.5581359124,15648.7224227961,16032.0950219679,16076.6919773578,16389.7760634254,16658.4887829898,16474.8396550214,16970.6304241489,17169.5163341336,17356.2240365978,17536.4923673212,17068.8142136804,16791.9745174529,16708.7493356926,17218.0181305018,17593.7396598773,18112.5114289697,18437.9855841477,18949.0371170228,19256.4199018792,18791.6267873256,18573.6994484136,18815.8090384659,19328.6220903231,19419.4112714279,18783.7376971616,18165.8829215539,17250.1901819813,16430.8490383486,15689.4385880449,15600.1255221089,15162.7341314822
"NOx","1A1a_Heat-production","ktNO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336103118401628,0,0,0,0,0,0,0,0,0,0,0,0.0464613134261075,0.060840490600124,0.0650525245647483,0.0659025722356134,0.0621537664961237,0.0707927341174446,0.0709168983839752,0.079990440938154,0.0825692372430257,0.0787965537599728,0.0813275945777168,0.11287171550073,0.115573193424948,0.108823802001175,0.100015123099259,0.0962750620485482,0.103271240912691,0.108958919429548,0.113366750891393,0.135167130764986,0.166996162935302,0.182808004723136,0.204584506853165,0.224278869744445,0.193323762988558,0.240974188044133,0.269651358064052,0.314126043225664,0.306513818577581,0.340706747360695,0.327063004688439,0.969163494312705,0.331580673770678,0.395587353167338,0.449665666790245,0.438882477796908,1.0452743870737,0.5736389113726,0.654202418156279,1.71705239949115,1.57104680664396,2.29874754288435,3.63551351612384,4.50485220713138,5.49073148951356,6.5317947140072,7.46713025939596,11.1820237157772,12.9582424420966,13.2588198679315,15.7591306523836,17.3319475283962,20.9779512487514,22.404324075532,23.1653984375002,25.6605246922587,28.040731581065,41.1930957381692,42.5168282933776,47.7831061663558,50.2212998957549,57.1540047091428,58.2501202270931,60.1213019883812,66.1521156896326,68.7508291564134,79.495562212001,93.181305279503,107.322867641029,124.960485596036,116.417773604265,120.69814168824,116.724511294091,115.650708806674,120.707935187358,122.824275865896,129.59853660786,130.915301812884,142.605003086819,153.124521335854,172.395238436941,182.476609429182,187.248960448685,186.68146660946,188.813983419434,201.011429996845,199.769060478343,218.621124569423,236.582798891916,237.697073347645,248.916276454709,247.127470596643,275.78088114235,327.220444886056,377.430843823365,364.533411101796,371.644969677212,403.61209469917,386.113786252551,302.96499883264,275.810662719069,301.890438649159,266.624170869315,288.145518735445,343.506991260467,371.09306272806,367.648034287064,392.924852388484,451.35039775366,473.762810494082,526.457096115724,535.54003205541,533.837516418728,540.709357365623,580.056966999031,662.978363468393,722.493149029977,812.393035821243,851.039809105364,859.922297810547,875.29180628145,1010.7425569403,929.540628358166,770.288231236445,921.753534108919,856.977279373462,829.561405970849,902.936422365381,1023.25528754419,1062.26488801856,1111.28857064345,1205.68215922743,1301.32725060767,1361.85104786061,1411.03807594359,1496.18673347878,1641.43592697413,1741.42643592472,1853.24199241437,1931.71464703912,1990.81306525891,2051.24444816072,2092.30748122668,2167.79667813663,2296.34257535018,2424.45658775994,2536.30108047572,2649.33180422023,2715.4979171938,2785.84293930777,2886.38389961189,2995.55246936914,3065.9515005877,3240.48511974947,3430.89817758799,3685.69564118765,3869.86020726234,4096.94580917942,4208.07932248715,4531.64987101734,4702.67422412355,5019.02143687306,5008.07756593766,5180.12255380607,5304.19003386878,5482.75813023019,5770.88941234882,5921.71890414572,6351.74410944009,6509.04415747704,7074.47749468986,7367.67741851136,7783.94050893321,8090.48906651648,8903.54268725494,8451.54467860111,7971.31273889076,8043.03960355923,7434.86019460663,7393.37045461774,7037.3884463361,7497.26255051963,7367.73027499335,7231.31660768702,7797.57333659726,7650.42273750534,8007.75864778572,8116.72728926928,8007.04642717708,7436.43758597009,7354.57096506761,7828.32352950261,8292.83291248979,8242.9511974596,7552.57693013747,6549.95083858646,5942.67148608066,5573.27268761357,5263.47947309537,5133.8078468845,4828.07950557415
"NOx","1A1bc_Other-transformation","ktNO2",2.12088046240251,2.12092774148308,2.12180276228258,2.12185004136313,2.12272506216264,2.12360008296212,2.26932990457439,2.27020492537388,2.27107994617338,2.27195496697286,2.27200224605343,2.48809598728206,2.48897688158884,2.48985777589563,2.49073867020241,2.4916195645092,2.77889909356581,2.77977998787261,2.78066088217939,2.78154177648618,2.78242267079298,3.0846083376458,3.08549601880809,3.08638369997036,3.08727138113264,3.08815906229493,3.40689956352636,3.40778724468864,3.40867492585091,3.4095626070132,3.41127802989441,3.81528380624675,3.81617936548014,3.81790266643245,3.81879822566585,3.82266729395495,4.33841820236285,4.34014150331517,4.34103706254856,4.34276036350088,4.3444836644532,4.851138602589,4.90842590098123,4.911460456401,4.90802498483272,4.91019149636494,5.14003658468273,5.3967941280389,5.62008858503135,5.91595150002037,6.14874671963597,6.13729033980149,6.58382238520021,6.92555831230743,7.3126954158616,7.27851650941839,7.66823441316131,7.87947857030638,7.66919664276477,7.6749861541536,7.9781667544543,8.47772251570416,8.80538705849548,8.87770434700927,9.04949491880739,9.29456930067383,10.0502036326613,10.3049883089808,10.3159660295522,10.3828867459546,10.4892652040827,10.6052578649446,11.015754335242,11.6072919461162,12.067105437217,12.3800298374498,12.5098285160075,13.2809457767928,13.4088837427705,13.4497454595218,17.056359563681,16.4567804479872,16.4100370064033,16.5892232177283,16.832402970043,16.9204839747102,19.7083105667907,19.3249357607592,19.9369237102591,20.4353218019024,21.4823738041706,22.0309205868273,23.1246137062224,23.9175560898573,25.1706762382608,27.2987933450102,27.2178126893602,29.7104855252416,30.3182655095388,32.0204308175748,34.0647757177442,33.2086289000423,33.8993403486689,34.7261529488881,41.5846195922267,40.5961171271403,43.4907201264187,43.2651305072866,43.0220303065358,46.424573627962,51.7097929988949,54.382179974431,54.5184919868905,57.5694359514646,62.0659355858948,66.0781945236096,68.3269390507539,71.2464316190293,71.229973263387,74.6140243584483,75.6672783044596,80.4328532040923,86.922599345552,90.9511686701837,85.7847083706308,94.0252300436925,94.5755145550632,95.6467166788369,95.8077662670619,99.2937220578758,111.390805057293,116.735671546576,120.974166335538,127.523102922776,127.250225395102,126.992504314413,127.672186168445,133.756232687939,144.470067774828,147.684155440956,155.778260723123,162.536971315673,161.108369276615,154.77624188297,168.182210340643,173.340099733093,180.218005070841,187.435198512346,195.473578893657,210.513330627099,220.728666892329,226.215462869831,232.207425142619,245.363758990556,253.130922004598,264.40962193202,274.886096103267,305.974234551763,303.079464226275,308.285188390988,319.173358115564,334.6934746486,347.51321097081,380.516468394266,353.902153854025,340.842714581125,369.368092354014,384.948338217037,380.752459886564,352.227778513054,380.501562704353,331.486416500246,356.97237557548,387.331749637144,399.617566010602,399.074091808334,361.57795587482,432.37005796702,432.233622365748,460.016958384442,429.33269325303,383.939387392,358.387615275753,375.159764447968,409.97531076839,425.017981293893,456.491472856511,490.232283742162,481.0190770921,496.683192462945,535.253787916367,544.049500526772,540.319558305018,549.365395818977,522.316172453571,402.036310715331,429.982331932336,480.125136432335,524.802048268922,530.736706424392,593.592380482856,653.295949990807,663.873667886298,685.874050096693,703.034489719507,755.038445314852,809.751534159967,840.705162064302,829.178017338262,854.173394656208,924.749963041193,983.843214501072,1031.35378715021,1096.7117856784,1171.67451969207,1226.23414687485,1284.16627011209,1369.63157083313,1479.11481047431,1599.0264656769,1855.32396988969,1801.02209999703,1839.90815660577,2052.92142278271,2040.60967753453,1897.02663619935,1885.14352098046,1923.31755262714,1944.00644595993,1979.85422574614,2093.85342966321,2024.85340747852,1967.5525018222,1896.4931022453,1940.74138538702,1973.04735526626,1996.49857708654,2005.82424812405,2111.50356448529,2210.71620937245,2079.21045341983,2051.51835072097,2044.83821095099,2067.90284193341,2082.47335792709,2128.64593708995,2152.44705326212,2262.2520076887,2293.5508677359,2153.63540620618,2130.1170022091,2510.3805260455,2709.1568322953,2761.19682390911,2703.01406436482,2717.01520441979,2874.33932714824,3067.51918779625,3155.6369720814,3260.48856535252,3519.75598058373,3468.93034884688,3517.81235857238,3521.43164393225,3416.58438533216,3205.37558988807,3236.76254514315,3337.67005406488,3351.38077702758,3371.76877533931
"NOx","1A2a_Ind-Comb-Iron-steel","ktNO2",0,0.0051621389968298,0.0103283235571368,0.0154924853357051,0.0206647382412279,0.0258410367102276,0.0331453015682028,0.0386836779684065,0.0442260999320873,0.0497725674592454,0.0553028527324948,0.066640544377178,0.0727230490650568,0.0788095993164134,0.0849001951312463,0.0909948365095567,0.108291643156066,0.115094258142876,0.121900918693163,0.128711624806927,0.135526376484168,0.157807317334513,0.165366452691548,0.17292963361206,0.180496860096049,0.188068132143516,0.215838902632339,0.22419501399437,0.232555170919879,0.240919373408863,0.249348304913484,0.288260557218349,0.297624013886187,0.307058267914877,0.316431838491408,0.32588374452038,0.380561657482174,0.39128250048311,0.401934568904935,0.412669571378043,0.423412664978104,0.484753620986748,0.503521695323446,0.515846833740215,0.527377780694329,0.539602399258934,0.577642547520348,0.619718702575908,0.65915451547548,0.708442113706771,0.774698832063462,0.794736367386481,1.02941925137211,0.930938934915059,0.973955287813098,1.02272687935603,1.09219915542179,1.14124813657667,1.13395520911898,1.15377675404239,1.19140114579442,1.28969584339121,1.35365684826049,1.38793508365618,1.44437109310536,1.50793932734241,1.66732636244005,1.7280256464761,1.77346255984144,1.83738805687604,1.88901591954644,1.94440212669834,2.04999430720525,2.19705860384523,2.33496746860569,2.4122613317621,2.48345488344541,2.63857562465255,2.69359243643754,2.76482251511639,3.78010968947025,3.63609776984862,3.75568349894834,3.85330092943521,3.92505691273872,4.07524514065921,4.79042168720455,4.8361052934427,5.04668495258433,5.34660728672349,5.73493357219327,5.94596221072156,6.34436114656328,6.62742877917743,7.21154362610527,7.96231900305343,8.10460043319628,8.88084391375617,9.39721781368498,10.0206619760415,10.7986973134113,11.1411999599527,11.7413744729362,12.3929791679388,14.3478227995403,14.8821581211978,16.2735868382314,16.925189689475,18.0959698626485,19.6968429769464,21.8638288841636,23.164550495718,23.798209326195,25.8907147311469,28.1572791712336,30.2577167843082,31.3577138967249,34.2207730370331,36.0222226110157,39.0349686217059,41.0974441090655,45.2873113467419,50.653687054124,54.5888111238553,53.5589804918319,57.5504245534542,58.7940401397796,60.529776798826,62.0876051295062,67.0327299987882,78.3295598616348,79.0026051092351,83.8123948559046,89.9035895205209,91.1758040032283,92.33773429359,93.5065164686362,98.2646713265292,108.048816423906,109.908489796348,119.08734046371,125.584409219485,126.629201908465,125.456371066089,133.191858079307,141.389514608404,148.557071125013,157.664677128797,168.768676915115,185.650414340895,196.526004265882,204.638167311283,212.190087593735,231.807189572514,236.240869963777,252.735990302428,271.562665290145,306.804836530353,300.224003256072,313.011938451512,334.747252380894,333.048490508213,344.527427733326,362.813950568009,324.05007129548,315.302435102265,334.519857090336,348.58182590125,344.453824466926,300.557047310091,342.707606387561,288.26497956494,300.205089566889,326.263247480214,325.309982092839,325.402056241975,328.931489322133,362.150322049987,361.736797074398,393.714819680109,362.988526281875,323.082750559216,292.235603787987,310.468719520892,339.489117796044,358.988898193004,391.283545408159,413.333434507459,385.174422052009,410.813698295429,469.179484472506,469.136666169852,472.137574361041,469.053036786958,464.149362612951,391.340311251465,414.614634370497,465.791913743009,503.667411684806,438.193617199512,477.685163235245,530.704783669058,552.414972998645,576.78937466366,598.38813350334,655.484592881367,715.245235739102,765.384123398835,800.975133452943,832.484834226376,1006.12060519976,1006.37272493381,1019.20597548155,1080.97195559398,1164.98357615991,1187.90686312571,1181.01182709748,1172.06253911939,1233.17684344586,1303.94869532713,1135.4554060477,1220.82099687034,1248.6179070386,1375.20555127725,1397.834294693,1323.0405921466,1364.39635920942,1275.10933346045,1256.0014353408,1300.09480313279,1645.25987720249,1546.11088534329,1428.14938821783,1418.52039094387,1539.19986373719,1352.31000480809,1356.21850466561,1367.92124897107,1428.52234964833,1421.56575813625,1345.4322481025,1242.78726540931,1111.08937665977,1122.41983837206,1149.35846161804,1315.87764990178,1251.82186449962,1230.06827613758,1297.79121569262,1205.96387479483,1298.86394797001,1259.43474960848,1194.27473030343,1334.36827925316,1438.25995441775,1452.12546535903,1549.66923899211,1667.98338810987,1768.75601386308,1780.66696205507,1958.1674044089,2169.91074882975,2243.22446829001,2268.47591927743,2320.02085817064,2172.1019357806,1937.32548938355,1933.87982719866,1921.36327701197,1861.35576526961
"NOx","1A2b_Ind-Comb-Non-ferrous-metals","ktNO2",0,0.00048065390301049,0.00096168449403274,0.00144252674104911,0.00192412236408901,0.00240609467514068,0.00308620488038004,0.00360189076848455,0.00411795334460082,0.00463439260872888,0.00514932512080987,0.00620499327377762,0.00677134369946439,0.00733807081316286,0.00790517461487313,0.00847265510459514,0.0100831846988909,0.0107165855906716,0.011350363170464,0.0119845174382682,0.0126190483940841,0.0146936576188727,0.0153974991688533,0.0161017174068455,0.0168063123328495,0.0175112839468653,0.0200970588036173,0.0208751078919151,0.0216535336682249,0.0224323361325463,0.023217165605056,0.0268403392462052,0.0277121836494323,0.0285906200928652,0.0294634062161217,0.030509367651443,0.0356052432339739,0.0366082152246862,0.0376047835191985,0.038609073917952,0.0396141176927288,0.0453303984306348,0.051278804070542,0.0526317511790048,0.0534689684069698,0.0547415274801098,0.0592451710966712,0.0634283775526698,0.067484379097042,0.0727363442431804,0.0776380967026113,0.0822855005040279,0.0867858877657124,0.100281529351513,0.103150330180072,0.112031318574492,0.121802130407202,0.121995527858886,0.129634770868185,0.132145778202691,0.136063577179015,0.146591340198638,0.15251325872129,0.156313841207408,0.163432883339695,0.17020544482795,0.175763309595086,0.179793557977271,0.186388446388485,0.184494447760474,0.188337972243959,0.194650829771856,0.205253056408245,0.225819660422897,0.240855953831325,0.246795501745837,0.248242738154374,0.265221291828502,0.268126682655579,0.275249963909611,0.341165140030738,0.330328613141251,0.339699900732547,0.351095159347959,0.357044164079902,0.361812563261378,0.428763982711007,0.431762897581697,0.456611659510784,0.484495528968589,0.515830134751367,0.539054690017821,0.570789212135315,0.606458059468666,0.650135527148601,0.700673012797523,0.700871510787956,0.762213429219565,0.807772965084226,0.859233074021904,0.917271012111801,0.945769502375818,1.01089329217169,1.06989714010466,1.25682980721699,1.30685887056666,1.45409795723337,1.54874712156317,1.65844569389643,1.85987400395918,2.07908040770361,2.29622522109165,2.46154544458051,2.73676497149466,3.10325468801182,3.46076335079949,3.64934793027509,3.97247725439429,4.10245459576108,4.37483804230886,4.58292920100754,5.23170405242633,5.7620088361113,6.16152576737628,6.33203716156948,6.75463318322112,6.95525120864913,6.99947616610269,7.19651686892068,7.52006023041028,8.6414641390418,9.12684160484711,9.6941252518794,10.482455999399,10.8128146665011,11.0324763278193,11.2618506067201,11.9019423596942,13.185823021201,13.6952712837218,14.5876561098403,15.4409676516648,15.3563807545918,15.8409400148189,17.0072337884832,17.7863077786815,19.228316309146,20.5471715675241,22.0377919490813,23.9154258611744,24.5457929111661,25.7091453911369,26.5637433765275,28.5006160433681,30.4199411706091,31.7398866282009,34.4396096986793,38.1022160767003,38.2282495960466,38.9862855103337,40.4355383692275,41.8774427673858,44.4756543211085,47.5508613753263,42.5035598720759,41.0849283569109,46.2078494865157,47.5108796332078,44.7419013565676,38.5432450389528,44.1843574953184,43.471526677703,43.5039434032451,41.9471455737876,46.424504857981,48.3792977368791,48.5159982144637,53.8609471300426,54.5538262230493,57.2221637610026,51.8671608158683,45.7044221742908,43.0705907848403,45.0236595519716,50.718285028795,54.4894238065056,60.1278774090034,65.59760846021,67.7726633767194,72.1601072083759,83.435074252548,85.4454307240747,86.1147457344682,89.0653876161495,88.8045324402716,72.0673893975244,74.8725963781101,77.6348334479111,81.4306111673828,85.0507910791995,85.2425202862569,91.4629038592183,93.9410966228598,92.4955680269034,93.4248487030503,98.6181321694092,100.119323594734,98.0753512199349,96.5359981001358,91.8350297967391,90.4076552730652,89.2318550973256,87.5329788242577,87.2725991653657,91.4222688555721,91.5290936466977,85.7137202839672,84.0031130656534,85.263673931467,85.1159282870102,132.461135453485,144.3474800451,143.681575662707,156.691164623684,178.768982712213,195.614991648813,209.629715192704,240.202908462733,240.827433269858,233.368925115021,240.378871754538,236.001969126375,201.194020319577,197.024229090221,204.37846589173,255.820182330716,259.659828158872,265.553124418813,280.814025887642,284.20878210168,280.49230156864,265.022939710761,264.453705585275,259.344444174851,257.031218119205,339.221858093306,337.694094860364,333.298274487868,344.549349319391,379.460827091125,387.073312621208,363.894149844833,333.254815533837,337.855275754621,369.362697002114,355.391113685181,387.106342109356,391.348885126952,392.673752279458,390.176526174689,423.980248379557,434.763161939523,441.916095393554,464.442516024641,470.28372980042,452.589279336024,432.665743931368,431.297275573744,425.2571947778,432.367669053281
